ID,Release,Header,DateCreated,DateTime,HasTime,ReportDate,Actual,Prior,Revision,Consensus,EstimateHigh,EstimateLow,EstimateMedian,EstimateNumber,Deviation,Country,ReleaseName,ReleaseID
1,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-03-03 12:30:00 AM,False,0001-01-01 12:00:00 AM,"3,8",0,0,"-1,4",3,-6,-2,22,"5,2",AU,AU Building Approvals MoM,101
2,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-04-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-3,7",0,0,"-4,3",2,-8,-4,22,"0,6",AU,AU Building Approvals MoM,101
3,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-05-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,5,0,0,-1,"5,1",-6,"-1,5",24,6,AU,AU Building Approvals MoM,101
4,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-06-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-4,9",0,0,"-1,6",2,"-6,5","-1,8",24,"-3,3",AU,AU Building Approvals MoM,101
5,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-07-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"3,9",0,0,"0,4","4,1",-4,"1,2",24,"3,5",AU,AU Building Approvals MoM,101
6,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-07-30 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-6,6",0,0,"-0,9","2,6",-5,-1,23,"-5,7",AU,AU Building Approvals MoM,101
7,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-09-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"9,7",0,0,"2,5","8,5",-3,3,22,"7,2",AU,AU Building Approvals MoM,101
8,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-09-30 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-10,2",0,0,"-1,8","2,5",-5,-2,22,"-8,4",AU,AU Building Approvals MoM,101
9,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-11-02 12:30:00 AM,False,0001-01-01 12:00:00 AM,"2,7",0,0,"0,9",4,-3,1,23,"1,8",AU,AU Building Approvals MoM,101
10,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2015-12-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"3,3",0,0,"-2,1","1,8","-4,9","-2,5",23,"5,4",AU,AU Building Approvals MoM,101
11,AU Building Approvals MoM,,2016-01-11 11:44:04 AM,2016-01-07 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-12,7",0,0,"-3,1",0,"-6,6",-3,17,"-9,6",AU,AU Building Approvals MoM,101
12,AU CPI QoQ,,2016-01-11 11:44:05 AM,2015-04-22 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,2",0,0,"0,2","0,5","-0,1","0,1",28,0,AU,AU CPI QoQ,102
13,AU CPI QoQ,,2016-01-11 11:44:05 AM,2015-07-22 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,7",0,0,"0,7",1,"0,3","0,8",27,0,AU,AU CPI QoQ,102
14,AU CPI QoQ,,2016-01-11 11:44:05 AM,2015-10-28 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,5",0,0,"0,7","0,8","0,4","0,7",29,"-0,2",AU,AU CPI QoQ,102
15,AU CPI Trimmed Mean QoQ,,2016-01-11 11:44:07 AM,2015-04-22 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,7",0,0,"0,5","0,7","0,3","0,6",25,"0,2",AU,AU CPI Trimmed Mean QoQ,103
16,AU CPI Trimmed Mean QoQ,,2016-01-11 11:44:07 AM,2015-07-22 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,6",0,0,"0,6","0,7","0,5","0,6",23,0,AU,AU CPI Trimmed Mean QoQ,103
17,AU CPI Trimmed Mean QoQ,,2016-01-11 11:44:07 AM,2015-10-28 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,3",0,0,"0,5","0,7","0,4","0,5",24,"-0,2",AU,AU CPI Trimmed Mean QoQ,103
18,AU CPI YoY,,2016-01-11 11:44:08 AM,2015-04-22 12:30:00 AM,False,0001-01-01 12:00:00 AM,"1,3",0,0,"1,3","1,6",1,"1,3",28,0,AU,AU CPI YoY,104
19,AU CPI YoY,,2016-01-11 11:44:08 AM,2015-07-22 12:30:00 AM,False,0001-01-01 12:00:00 AM,"1,5",0,0,"1,6","1,9","1,2","1,7",27,"-0,1",AU,AU CPI YoY,104
20,AU CPI YoY,,2016-01-11 11:44:08 AM,2015-10-28 12:30:00 AM,False,0001-01-01 12:00:00 AM,"1,5",0,0,"1,7","1,9","1,3","1,7",28,"-0,2",AU,AU CPI YoY,104
21,AU Employment,,2016-01-11 11:44:10 AM,2015-02-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-5,6",0,0,"-1,4",20,-20,-5,27,"-4,2",AU,AU Employment,105
22,AU Employment,,2016-01-11 11:44:10 AM,2015-03-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"41,4",0,0,"12,1",25,-5,15,28,"29,3",AU,AU Employment,105
23,AU Employment,,2016-01-11 11:44:10 AM,2015-04-16 12:30:00 AM,False,0001-01-01 12:00:00 AM,"39,6",0,0,15,"22,5",0,15,28,"24,6",AU,AU Employment,105
24,AU Employment,,2016-01-11 11:44:10 AM,2015-05-07 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-11,2",0,0,"2,7",20,-20,4,29,"-13,9",AU,AU Employment,105
25,AU Employment,,2016-01-11 11:44:10 AM,2015-06-11 12:30:00 AM,False,0001-01-01 12:00:00 AM,"47,6",0,0,"11,6",20,-5,15,27,36,AU,AU Employment,105
26,AU Employment,,2016-01-11 11:44:10 AM,2015-07-09 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,2",0,0,-1,20,-17,0,28,"1,2",AU,AU Employment,105
27,AU Employment,,2016-01-11 11:44:10 AM,2015-08-06 12:30:00 AM,False,0001-01-01 12:00:00 AM,"41,3",0,0,"8,8",25,-17,10,28,"32,5",AU,AU Employment,105
28,AU Employment,,2016-01-11 11:44:10 AM,2015-09-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,"21,3",0,0,"1,6",15,-20,5,29,"19,7",AU,AU Employment,105
29,AU Employment,,2016-01-11 11:44:10 AM,2015-10-15 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-0,3",0,0,9,25,0,"9,6",30,"-9,3",AU,AU Employment,105
30,AU Employment,,2016-01-11 11:44:10 AM,2015-11-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"56,1",0,0,14,25,-10,15,28,"42,1",AU,AU Employment,105
31,AU Employment,,2016-01-11 11:44:10 AM,2015-12-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,"71,4",0,0,"-5,1",15,-20,-10,27,"76,5",AU,AU Employment,105
32,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-02-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-22,9",0,0,0,0,0,0,-2147483648,"-22,9",AU,AU Full Time Employment,106
33,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-03-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"37,4",0,0,0,0,0,0,-2147483648,"37,4",AU,AU Full Time Employment,106
34,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-04-16 12:30:00 AM,False,0001-01-01 12:00:00 AM,"36,5",0,0,0,0,0,0,-2147483648,"36,5",AU,AU Full Time Employment,106
35,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-05-07 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-24,1",0,0,0,0,0,0,-2147483648,"-24,1",AU,AU Full Time Employment,106
36,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-06-11 12:30:00 AM,False,0001-01-01 12:00:00 AM,"16,6",0,0,0,0,0,0,-2147483648,"16,6",AU,AU Full Time Employment,106
37,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-07-09 12:30:00 AM,False,0001-01-01 12:00:00 AM,"21,7",0,0,0,0,0,0,-2147483648,"21,7",AU,AU Full Time Employment,106
38,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-08-06 12:30:00 AM,False,0001-01-01 12:00:00 AM,"14,1",0,0,0,0,0,0,-2147483648,"14,1",AU,AU Full Time Employment,106
39,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-09-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,"13,3",0,0,0,0,0,0,-2147483648,"13,3",AU,AU Full Time Employment,106
40,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-10-15 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-10,5",0,0,0,0,0,0,-2147483648,"-10,5",AU,AU Full Time Employment,106
41,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-11-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"38,4",0,0,0,0,0,0,-2147483648,"38,4",AU,AU Full Time Employment,106
42,AU Full Time Employment,,2016-01-11 11:44:11 AM,2015-12-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,"41,6",0,0,0,0,0,0,-2147483648,"41,6",AU,AU Full Time Employment,106
43,AU GDP QoQ,,2016-01-11 11:44:13 AM,2015-06-03 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,9",0,0,"0,7","0,9","0,3","0,7",31,"0,2",AU,AU GDP QoQ,107
44,AU GDP QoQ,,2016-01-11 11:44:13 AM,2015-09-02 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,3",0,0,"0,4","0,7","-0,1","0,4",27,"-0,1",AU,AU GDP QoQ,107
45,AU GDP QoQ,,2016-01-11 11:44:13 AM,2015-12-02 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,9",0,0,"0,7",1,"0,3","0,8",28,"0,2",AU,AU GDP QoQ,107
46,AU GDP YoY,,2016-01-11 11:44:14 AM,2015-06-03 12:30:00 AM,False,0001-01-01 12:00:00 AM,"2,1",0,0,"2,1","2,3","1,7","2,1",31,0,AU,AU GDP YoY,108
47,AU GDP YoY,,2016-01-11 11:44:14 AM,2015-09-02 12:30:00 AM,False,0001-01-01 12:00:00 AM,"1,9",0,0,"2,1","2,6","1,6","2,2",28,"-0,2",AU,AU GDP YoY,108
48,AU GDP YoY,,2016-01-11 11:44:14 AM,2015-12-02 12:30:00 AM,False,0001-01-01 12:00:00 AM,"2,5",0,0,"2,3","2,6","1,9","2,4",29,"0,2",AU,AU GDP YoY,108
49,AU Home Loans MoM,,2016-01-11 11:44:16 AM,2015-03-11 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-2,8",0,0,"-1,7",1,-5,-2,20,"-1,1",AU,AU Home Loans MoM,109
50,AU Home Loans MoM,,2016-01-11 11:44:16 AM,2015-04-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,"2,1",0,0,"2,2","4,2",-3,3,18,"-0,1",AU,AU Home Loans MoM,109
51,AU Home Loans MoM,,2016-01-11 11:44:16 AM,2015-05-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"2,2",0,0,"1,3","2,6","-0,2",1,21,"0,9",AU,AU Home Loans MoM,109
52,AU Home Loans MoM,,2016-01-11 11:44:16 AM,2015-06-09 12:30:00 AM,False,0001-01-01 12:00:00 AM,"1,9",0,0,"-1,6",1,-4,-2,18,"3,5",AU,AU Home Loans MoM,109
53,AU Home Loans MoM,,2016-01-11 11:44:16 AM,2015-07-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-7,8",0,0,"-2,2","1,5","-6,5",-3,18,"-5,6",AU,AU Home Loans MoM,109
54,AU Home Loans MoM,,2016-01-11 11:44:16 AM,2015-08-07 12:30:00 AM,False,0001-01-01 12:00:00 AM,"6,4",0,0,"4,2","6,5",-1,5,16,"2,2",AU,AU Home Loans MoM,109
55,AU Home Loans MoM,,2016-01-11 11:44:16 AM,2015-09-09 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-0,4",0,0,"0,3",2,-3,"0,8",21,"-0,7",AU,AU Home Loans MoM,109
56,AU Home Loans MoM,,2016-01-11 11:44:16 AM,2015-10-09 12:30:00 AM,False,0001-01-01 12:00:00 AM,"1,4",0,0,4,8,-2,"4,7",18,"-2,6",AU,AU Home Loans MoM,109
57,AU Home Loans MoM,,2016-01-11 11:44:16 AM,2015-11-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,2,0,0,"-0,3","1,1",-3,0,19,"2,3",AU,AU Home Loans MoM,109
58,AU Home Loans MoM,,2016-01-11 11:44:16 AM,2015-12-09 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-0,5",0,0,"-0,7","0,5","-1,5",-1,18,"0,2",AU,AU Home Loans MoM,109
59,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-02-03 03:30:00 AM,False,0001-01-01 12:00:00 AM,"2,25",0,0,"2,44","2,5","2,25","2,5",29,"-0,19",AU,AU Interest Rate,110
60,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-03-03 03:30:00 AM,False,0001-01-01 12:00:00 AM,"2,25",0,0,"2,09","2,25",2,2,29,"0,16",AU,AU Interest Rate,110
61,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-04-08 03:30:00 AM,False,0001-01-01 12:00:00 AM,"2,25",0,0,"2,14","2,25",2,"2,25",30,"0,11",AU,AU Interest Rate,110
62,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-05-06 03:30:00 AM,False,0001-01-01 12:00:00 AM,2,0,0,"2,03","2,25",2,2,29,"-0,0299999999999998",AU,AU Interest Rate,110
63,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-06-03 03:30:00 AM,False,0001-01-01 12:00:00 AM,2,0,0,2,2,2,2,29,0,AU,AU Interest Rate,110
64,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-07-08 03:30:00 AM,False,0001-01-01 12:00:00 AM,2,0,0,2,2,2,2,27,0,AU,AU Interest Rate,110
65,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-08-05 03:30:00 AM,False,0001-01-01 12:00:00 AM,2,0,0,"1,97",2,"1,75",2,28,"0,03",AU,AU Interest Rate,110
66,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-09-02 03:30:00 AM,False,0001-01-01 12:00:00 AM,2,0,0,2,2,2,2,27,0,AU,AU Interest Rate,110
67,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-10-06 03:30:00 AM,False,0001-01-01 12:00:00 AM,2,0,0,2,2,2,2,27,0,AU,AU Interest Rate,110
68,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-11-03 03:30:00 AM,False,0001-01-01 12:00:00 AM,2,0,0,"1,9",2,"1,75",2,29,"0,1",AU,AU Interest Rate,110
69,AU Interest Rate,,2016-01-11 11:44:17 AM,2015-12-01 03:30:00 AM,False,0001-01-01 12:00:00 AM,2,0,0,2,2,2,2,29,0,AU,AU Interest Rate,110
70,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-02-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"17,2",0,0,0,0,0,0,-2147483648,"17,2",AU,AU Part Time Employment,111
71,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-03-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,4,0,0,0,0,0,0,-2147483648,4,AU,AU Part Time Employment,111
72,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-04-16 12:30:00 AM,False,0001-01-01 12:00:00 AM,"3,1",0,0,0,0,0,0,-2147483648,"3,1",AU,AU Part Time Employment,111
73,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-05-07 12:30:00 AM,False,0001-01-01 12:00:00 AM,"12,9",0,0,0,0,0,0,-2147483648,"12,9",AU,AU Part Time Employment,111
74,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-06-11 12:30:00 AM,False,0001-01-01 12:00:00 AM,31,0,0,0,0,0,0,-2147483648,31,AU,AU Part Time Employment,111
75,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-07-09 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-21,5",0,0,0,0,0,0,-2147483648,"-21,5",AU,AU Part Time Employment,111
76,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-08-06 12:30:00 AM,False,0001-01-01 12:00:00 AM,"27,2",0,0,0,0,0,0,-2147483648,"27,2",AU,AU Part Time Employment,111
77,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-09-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,8,0,0,0,0,0,0,-2147483648,8,AU,AU Part Time Employment,111
78,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-10-15 12:30:00 AM,False,0001-01-01 12:00:00 AM,"10,2",0,0,0,0,0,0,-2147483648,"10,2",AU,AU Part Time Employment,111
79,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-11-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"17,7",0,0,0,0,0,0,-2147483648,"17,7",AU,AU Part Time Employment,111
80,AU Part Time Employment,,2016-01-11 11:44:18 AM,2015-12-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,"29,7",0,0,0,0,0,0,-2147483648,"29,7",AU,AU Part Time Employment,111
81,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-02-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"64,7",0,0,"64,7","64,8","64,6","64,7",20,0,AU,AU Participation Rate,112
82,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-03-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"64,7",0,0,"64,8","64,8","64,7","64,8",19,"-0,0999999999999943",AU,AU Participation Rate,112
83,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-04-16 12:30:00 AM,False,0001-01-01 12:00:00 AM,"64,8",0,0,"64,5","64,7","62,8","64,6",23,"0,299999999999997",AU,AU Participation Rate,112
84,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-05-07 12:30:00 AM,False,0001-01-01 12:00:00 AM,"64,7",0,0,"64,8","64,9","64,6","64,8",24,"-0,0999999999999943",AU,AU Participation Rate,112
85,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-06-11 12:30:00 AM,False,0001-01-01 12:00:00 AM,"64,8",0,0,"64,8","64,9","64,7","64,8",22,0,AU,AU Participation Rate,112
86,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-07-09 12:30:00 AM,False,0001-01-01 12:00:00 AM,"64,8",0,0,"64,7","64,8","64,6","64,7",23,"0,0999999999999943",AU,AU Participation Rate,112
87,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-08-06 12:30:00 AM,False,0001-01-01 12:00:00 AM,"65,1",0,0,"64,8","64,8","64,7","64,8",22,"0,299999999999997",AU,AU Participation Rate,112
88,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-09-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,65,0,0,65,"65,2","64,9",65,22,0,AU,AU Participation Rate,112
89,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-10-15 12:30:00 AM,False,0001-01-01 12:00:00 AM,"64,9",0,0,65,"65,1","64,9",65,23,"-0,0999999999999943",AU,AU Participation Rate,112
90,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-11-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,65,0,0,"64,9",65,"64,9","64,9",21,"0,0999999999999943",AU,AU Participation Rate,112
91,AU Participation Rate,,2016-01-11 11:44:20 AM,2015-12-10 12:30:00 AM,False,0001-01-01 12:00:00 AM,"65,3",0,0,65,65,"64,8",65,20,"0,299999999999997",AU,AU Participation Rate,112
92,AU PPI QoQ,,2016-01-11 11:44:21 AM,2015-05-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,5",0,0,0,0,0,0,-2147483648,"0,5",AU,AU PPI QoQ,113
93,AU PPI QoQ,,2016-01-11 11:44:21 AM,2015-07-31 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,3",0,0,0,0,0,0,-2147483648,"0,3",AU,AU PPI QoQ,113
94,AU PPI QoQ,,2016-01-11 11:44:21 AM,2015-10-30 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,9",0,0,0,0,0,0,-2147483648,"0,9",AU,AU PPI QoQ,113
95,AU PPI YoY,,2016-01-11 11:44:23 AM,2015-05-01 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,7",0,0,0,0,0,0,-2147483648,"0,7",AU,AU PPI YoY,114
96,AU PPI YoY,,2016-01-11 11:44:23 AM,2015-07-31 12:30:00 AM,False,0001-01-01 12:00:00 AM,"1,1",0,0,0,0,0,0,-2147483648,"1,1",AU,AU PPI YoY,114
97,AU PPI YoY,,2016-01-11 11:44:23 AM,2015-10-30 12:30:00 AM,False,0001-01-01 12:00:00 AM,"1,7",0,0,0,0,0,0,-2147483648,"1,7",AU,AU PPI YoY,114
98,AU RS MoM,,2016-01-11 11:44:24 AM,2015-03-05 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,5",0,0,"0,4",1,0,"0,4",25,"0,1",AU,AU RS MoM,115
99,AU RS MoM,,2016-01-11 11:44:24 AM,2015-04-07 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,7",0,0,"0,3","0,7",0,"0,4",25,"0,4",AU,AU RS MoM,115
100,AU RS MoM,,2016-01-11 11:44:24 AM,2015-05-06 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,2",0,0,"0,4","0,6","0,1","0,4",26,"-0,2",AU,AU RS MoM,115
101,AU RS MoM,,2016-01-11 11:44:24 AM,2015-06-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,1",0,0,"0,3","0,6","0,1","0,3",29,"-0,2",AU,AU RS MoM,115
102,AU RS MoM,,2016-01-11 11:44:24 AM,2015-07-03 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,3",0,0,"0,5","0,9","0,1","0,5",28,"-0,2",AU,AU RS MoM,115
103,AU RS MoM,,2016-01-11 11:44:24 AM,2015-08-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,7",0,0,"0,4","1,2",0,"0,4",27,"0,3",AU,AU RS MoM,115
104,AU RS MoM,,2016-01-11 11:44:24 AM,2015-09-03 12:30:00 AM,False,0001-01-01 12:00:00 AM,"-0,1",0,0,"0,4","0,5","0,1","0,4",26,"-0,5",AU,AU RS MoM,115
105,AU RS MoM,,2016-01-11 11:44:24 AM,2015-10-02 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,4",0,0,"0,4","0,7",0,"0,4",26,0,AU,AU RS MoM,115
106,AU RS MoM,,2016-01-11 11:44:24 AM,2015-11-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,4",0,0,"0,4","0,7","-0,2","0,4",28,0,AU,AU RS MoM,115
107,AU RS MoM,,2016-01-11 11:44:24 AM,2015-12-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,6",0,0,"0,4","0,6",0,"0,4",28,"0,2",AU,AU RS MoM,115
108,AU RS MoM,,2016-01-11 11:44:24 AM,2016-01-08 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,4",0,0,"0,4","0,7","-0,2","0,4",20,0,AU,AU RS MoM,115
109,AU RS QoQ,,2016-01-11 11:44:26 AM,2015-05-06 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,6",0,0,"0,9","1,5","0,6","0,8",23,"-0,3",AU,AU RS QoQ,116
110,AU RS QoQ,,2016-01-11 11:44:26 AM,2015-08-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,7",0,0,"0,4","0,9",0,"0,4",22,"0,3",AU,AU RS QoQ,116
111,AU RS QoQ,,2016-01-11 11:44:26 AM,2015-11-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,"0,6",0,0,"0,7","0,9","0,3","0,7",24,"-0,1",AU,AU RS QoQ,116
112,AU Trade Balance,,2016-01-11 11:44:27 AM,2015-03-05 12:30:00 AM,False,0001-01-01 12:00:00 AM,-1360,0,0,-856,0,-1460,-925,24,-504,AU,AU Trade Balance,117
113,AU Trade Balance,,2016-01-11 11:44:27 AM,2015-04-02 12:30:00 AM,False,0001-01-01 12:00:00 AM,-1757,0,0,-1208,-100,-2500,-1300,25,-549,AU,AU Trade Balance,117
114,AU Trade Balance,,2016-01-11 11:44:27 AM,2015-05-05 12:30:00 AM,False,0001-01-01 12:00:00 AM,-1717,0,0,-957,-200,-2000,-1000,25,-760,AU,AU Trade Balance,117
115,AU Trade Balance,,2016-01-11 11:44:27 AM,2015-06-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,-3961,0,0,-2048,-1200,-3100,-2100,26,-1913,AU,AU Trade Balance,117
116,AU Trade Balance,,2016-01-11 11:44:27 AM,2015-07-02 12:30:00 AM,False,0001-01-01 12:00:00 AM,-3197,0,0,-2218,-900,-3700,-2225,26,-979,AU,AU Trade Balance,117
117,AU Trade Balance,,2016-01-11 11:44:27 AM,2015-08-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,-3572,0,0,-2872,-2100,-3500,-3000,24,-700,AU,AU Trade Balance,117
118,AU Trade Balance,,2016-01-11 11:44:27 AM,2015-09-03 12:30:00 AM,False,0001-01-01 12:00:00 AM,-2390,0,0,-2970,-2000,-3700,-3160,25,580,AU,AU Trade Balance,117
119,AU Trade Balance,,2016-01-11 11:44:27 AM,2015-10-06 12:30:00 AM,False,0001-01-01 12:00:00 AM,-2443,0,0,-2363,-1100,-3300,-2400,26,-80,AU,AU Trade Balance,117
120,AU Trade Balance,,2016-01-11 11:44:27 AM,2015-11-04 12:30:00 AM,False,0001-01-01 12:00:00 AM,-2063,0,0,-2967,-2400,-3500,-2900,26,904,AU,AU Trade Balance,117
121,AU Trade Balance,,2016-01-11 11:44:27 AM,2015-12-03 12:30:00 AM,False,0001-01-01 12:00:00 AM,-3247,0,0,-2641,-1800,-3500,-2600,25,-606,AU,AU Trade Balance,117
122,AU Trade Balance,,2016-01-11 11:44:27 AM,2016-01-07 12:30:00 AM,False,0001-01-01 12:00:00 AM,-2906,0,0,-3021,-2500,-3800,-2985,18,115,AU,AU Trade Balance,117
123,AU Unemployment Rate,,2016-01-11 11:44:29 AM,2015-02-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"6,4",0,0,"6,2","6,3","6,1","6,2",27,"0,2",AU,AU Unemployment Rate,118
124,AU Unemployment Rate,,2016-01-11 11:44:29 AM,2015-03-12 12:30:00 AM,False,0001-01-01 12:00:00 AM,"6,2",0,0,"6,4","6,5","6,3","6,4",28,"-0,2",AU,AU Unemployment Rate,118
125,AU Unemployment Rate,,2016-01-11 11:44:29 AM,2015-04-16 12:30:00 AM,False,0001-01-01 12:00:00 AM,"6,1",0,0,"6,3","6,4","6,2","6,3",29,"-0,2",AU,AU Unemployment Rate,118
126,AU Unemployment Rate,,2016-01-11 11:44:29 AM,2015-05-07 12:30:00 AM,False,0001-01-01 12:00:00 AM,"6,2",0,0,"6,2","6,3","6,1","6,2",29,0,AU,AU Unemployment Rate,118
127,AU Unemployment Rate,,2016-01-11 11:44:29 AM,2015-06-11 12:30:00 AM,False,0001-01-01 12:00:00 AM,"5,9",0,0,"6,2","6,3","6,1","6,2",27,"-0,3",AU,AU Unemployment Rate,118
128,AU Unemployment Rate,,2016-01-11 11:44:29 AM,2015-07-09 12:30:00 AM,False,0001-01-01 12:00:00 AM,6,0,0,"6,1","6,2",6,"6,1",28,"-0,0999999999999996",AU,AU Unemployment Rate,118
129,AU Unemployment Rate,,2016-01-11 11:44:29 AM,2015-08-06 12:30:00 AM,False,0001-01-01 12:00:00 AM,"6,3",0,0,"6,1","6,1",6,"6,1",28,"0,2",AU,AU Unemployment Rate,118
